product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency;store_name;date;
P001;lapte zuzu;lactate;Zuzu;1;l;10.10;RON;kaufland;2025-05-01;
P003;iaurt grecesc;lactate;Olympus;0.4;kg;11.80;RON;kaufland;2025-05-01;
P006;ouă mărimea M;ouă;Ferma Veche;10;buc;13.50;RON;kaufland;2025-05-01;
P009;brânză telemea;lactate;Hochland;0.3;kg;13.10;RON;kaufland;2025-05-01;
P012;pâine albă;panificație;K-Classic;500;g;3.60;RON;kaufland;2025-05-01;
P015;roșii cherry;legume și fructe;K-Bio;250;g;2.00;RON;kaufland;2025-05-01;
P018;piept pui;carne;Agricola;1;kg;27.90;RON;kaufland;2025-05-01;
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;5.90;RON;kaufland;2025-05-01;
P022;zahăr tos;alimente de bază;Mărgăritar;1;kg;4.50;RON;kaufland;2025-05-01;
P025;apă plată;băuturi;Dorna;2;l;5.30;RON;kaufland;2025-05-01;
P027;banane;legume și fructe;Generic;1;kg;6.20;RON;kaufland;2025-05-01;
P029;ulei floarea-soarelui;alimente de bază;Floriol;1;l;9.50;RON;kaufland;2025-05-01;
P032;biscuiți cu unt;gustări;Milka;0.2;kg;7.50;RON;kaufland;2025-05-01;
P035;cafea măcinată;cafea;Jacobs;0.25;kg;23.00;RON;kaufland;2025-05-01;
P038;detergent lichid;produse de menaj;Ariel;2.5;l;50.50;RON;kaufland;2025-05-01;
P041;șampon păr gras;îngrijire personală;Elseve;400;ml;18.00;RON;kaufland;2025-05-01;
P044;hârtie igienică 3 straturi;produse de menaj;Pufina;10;role;19.20;RON;kaufland;2025-05-01;
P047;piper negru măcinat;condimente;Fuchs;50;g;6.10;RON;kaufland;2025-05-01;
P050;vin alb demisec;băuturi;Recas;1.75;l;24.00;RON;kaufland;2025-05-01;
P053;ciocolată neagră 70%;gustări;Heidi;100;g;4.10;RON;kaufland;2025-05-01;
P056;cartofi albi;legume și fructe;Generic;1;kg;3.20;RON;kaufland;2025-05-01;
P058;ceapă galbenă;legume și fructe;Generic;1;kg;2.90;RON;kaufland;2025-05-01;
P059;morcovi;legume și fructe;Generic;0.5;kg;2.50;RON;kaufland;2025-05-01;
P060;suc portocale;băuturi;Cappy;1;l;7.80;RON;kaufland;2025-05-01;
P062;cașcaval;lactate;Delaco;0.25;kg;15.00;RON;kaufland;2025-05-01;
P035;cafea măcinată;cafea;Jacobs;0.25;kg;13.00;RON;kaufland;2025-05-01;
P053;ciocolată neagră 70%;gustări;Heidi;100;g;2.10;RON;kaufland;2025-05-01;
P001;lapte zuzu;lactate;Zuzu;1;l;9.80;RON;lidl;2025-05-08;
P002;iaurt grecesc;lactate;Lidl;0.4;kg;11.60;RON;lidl;2025-05-08;
P005;ouă mărimea M;ouă;Lidl;10;buc;13.10;RON;lidl;2025-05-08;
P008;brânză telemea;lactate;Pilos;0.3;kg;12.90;RON;lidl;2025-05-08;
P011;pâine albă;panificație;Lidl;500;g;3.40;RON;lidl;2025-05-08;
P014;roșii cherry;legume și fructe;Lidl;250;g;6.90;RON;lidl;2025-05-08;
P017;piept pui;carne;Lidl;1;kg;28.90;RON;lidl;2025-05-08;
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;5.70;RON;lidl;2025-05-08;
P021;zahăr tos;alimente de bază;Lidl;1;kg;4.30;RON;lidl;2025-05-08;
P024;apă plată;băuturi;Aqua Carpatica;2;l;5.10;RON;lidl;2025-05-08;
P026;banane;legume și fructe;Lidl;1;kg;6.00;RON;lidl;2025-05-08;
P028;ulei floarea-soarelui;alimente de bază;Bunica;1;l;9.30;RON;lidl;2025-05-08;
P031;biscuiți cu unt;gustări;Deluxe;0.2;kg;7.00;RON;lidl;2025-05-08;
P034;cafea măcinată;cafea;Davidoff;0.25;kg;22.60;RON;lidl;2025-05-08;
P037;detergent lichid;produse de menaj;Persil;2.5;l;49.50;RON;lidl;2025-05-08;
P040;șampon păr gras;îngrijire personală;Head & Shoulders;400;ml;17.90;RON;lidl;2025-05-08;
P043;hârtie igienică 3 straturi;produse de menaj;Zewa;10;role;18.80;RON;lidl;2025-05-08;
P046;piper negru măcinat;condimente;Kotanyi;50;g;6.05;RON;lidl;2025-05-08;
P049;vin alb demisec;băuturi;Jidvei;0.75;l;23.30;RON;lidl;2025-05-08;
P052;ciocolată neagră 70%;gustări;Fin Carre;100;g;3.80;RON;lidl;2025-05-08;
P055;cartofi albi;legume și fructe;Lidl;1;kg;3.00;RON;lidl;2025-05-08;
P057;ceapă galbenă;legume și fructe;Lidl;1;kg;2.80;RON;lidl;2025-05-08;
P064;mălai extra;alimente de bază;Pambac;1;kg;5.50;RON;lidl;2025-05-08;
P065;file somon;pește;Lidl;0.2;kg;25.00;RON;lidl;2025-05-08;
P066;cremă de brânză;lactate;Almette;0.15;kg;8.50;RON;lidl;2025-05-08;
